date,Max Temp (c),Min Temp (c),Avg Temp (c),Snow (cm),Sun Time (Hours),UV Index,Total Precipitation (MM),Avg Pressure (P),Avg Humidity (%),Avg Cloud Cover,Avg Resultant Wind vector [E](km/h),Avg Resultant Wind vector [N](km/h)
2009-01-01,22,11,16,0.0,8.7,5,0,1016.375,43.75,6.75,7.6599425,-8.1138
2009-01-02,24,10,18,0.0,8.7,5,0,1017.25,55.5,2.375,3.1999175,-1.2754775
2009-01-03,26,11,18,0.0,8.7,5,0,1016.5,56,9.5,-1.0695800000000002,2.8226637500000002
2009-01-04,22,10,17,0.0,8.7,5,0,1015.25,46.5,21.375,1.8268512499999998,3.5692887499999997
2009-01-05,23,13,18,0.0,8.7,5,0,1014.5,57.625,11.125,6.261127500000001,1.0076674999999997
2009-01-06,24,11,18,0.0,8.7,5,0,1015.625,62,4.25,3.4848600000000003,-0.2713562499999999
2009-01-07,24,12,18,0.0,8.7,5,0,1017.75,52.125,2.5,6.805499999999999,-2.9147412499999996
2009-01-08,25,10,18,0.0,8.7,5,0,1020.875,49.375,0,5.1461325,-3.604405
2009-01-09,22,8,16,0.0,8.7,5,0,1021.25,43.25,12.375,4.19305125,-1.168545
2009-01-10,23,13,18,0.0,8.7,5,0,1020,54,12.75,5.873315,-2.983695
2009-01-11,22,10,17,0.0,8.7,5,0,1019.5,50.875,12.875,5.351672499999999,-6.292561249999999
2009-01-12,22,9,17,0.0,8.7,5,0,1021,54.875,6.375,5.283503750000001,-4.8321225000000005
2009-01-13,22,8,16,0.0,8.7,5,0,1022.5,54.5,18.75,6.141135,-2.19954625
2009-01-14,26,8,19,0.0,8.7,5,0,1021.5,48.375,11.375,6.213155,-5.522696249999999
2009-01-15,24,10,19,0.0,8.7,5,0,1020.375,41.875,9.5,5.716810000000001,-5.0863612499999995
2009-01-16,26,13,20,0.0,8.7,6,0,1019.125,40.125,24.75,5.94294625,-1.7524849999999996
2009-01-17,22,14,19,0.0,8.7,5,0.2,1017.875,59.75,27.75,6.7790962499999985,-2.9757637500000005
2009-01-18,23,14,19,0.0,8.7,5,0.1,1016.625,72.875,25.75,1.3242362500000002,1.4468787500000002
2009-01-19,23,14,19,0.0,8.7,5,0,1016.875,67.5,12.25,7.018114999999999,-9.818991250000002
2009-01-20,22,11,17,0.0,8.7,5,0,1016.5,63.75,16,6.7561275,-12.655914999999998
2009-01-21,20,11,16,0.0,8.7,5,0,1014.875,46.25,22.375,7.48601875,-13.165906250000003
2009-01-22,24,12,19,0.0,8.7,5,0,1014.25,38.625,20.875,6.812215,-8.1198025
2009-01-23,25,14,20,0.0,8.7,5,0,1013.25,35.875,19.875,9.63935875,-12.98538625
2009-01-24,26,16,21,0.0,5.5,6,0,1011.375,42.375,30.25,6.788533749999999,-12.331014999999999
2009-01-25,30,17,24,0.0,8.7,6,0,1011,48.625,16.625,-3.39153875,4.25852
2009-01-26,28,14,22,0.0,8.7,6,0,1011.625,60.125,7,2.83809125,-2.91948125
2009-01-27,26,15,21,0.0,8.7,6,0,1013.5,58.125,0.5,4.09036875,-7.4483675
2009-01-28,24,13,20,0.0,8.7,5,0,1014,63.875,0,4.56948375,-10.789055
2009-01-29,28,13,21,0.0,8.7,6,0,1015.125,66.5,2.25,3.4917737500000006,-3.450519999999999
2009-01-30,25,12,21,0.0,8.7,6,0,1014.75,62.75,2.875,5.839712499999999,-5.84665375
2009-01-31,23,12,19,0.0,10.9,5,0,1014.375,54.875,0.875,9.686518750000001,-11.602409999999999
2009-02-01,23,10,18,0.0,10.9,5,0,1014.875,53.25,11.125,4.461202500000001,-8.95749375
2009-02-02,25,10,20,0.0,10.9,6,0,1015.375,53.5,1.5,4.86057875,-4.05679875
2009-02-03,29,11,23,0.0,10.9,6,0,1015,56.125,0,3.29536375,-1.09137125
2009-02-04,31,12,24,0.0,11.0,6,0,1014.5,58.5,0.5,-0.35924749999999994,2.080935
