date,Max Temp (c),Min Temp (c),Avg Temp (c),Snow (cm),Sun Time (Hours),UV Index,Total Precipitation (MM),Avg Pressure (P),Avg Humidity (%),Avg Cloud Cover,Avg Resultant Wind vector [E](km/h),Avg Resultant Wind vector [N](km/h)
2009-01-01,23,11,17,0.0,8.7,5,0,1016.25,42.375,8,7.7675012500000005,-8.50037375
2009-01-02,24,11,18,0.0,8.7,5,0,1017.125,55.625,2.5,3.0915475,-1.0432225
2009-01-03,25,11,17,0.0,8.7,5,0,1016.625,56.375,9.625,-1.0471362499999999,2.9491750000000003
2009-01-04,22,9,17,0.0,8.7,5,0,1015.25,47,21.75,1.8369375,3.0165125000000006
2009-01-05,23,13,18,0.0,8.7,5,0.2,1014.625,57.75,12.25,6.408915,0.7322349999999997
2009-01-06,24,11,18,0.0,8.7,5,0,1015.5,61.25,4.5,3.02132875,-0.7390487500000001
2009-01-07,25,12,19,0.0,8.7,5,0,1017.75,53,2.375,5.9924725,-3.4731425
2009-01-08,26,11,19,0.0,8.7,5,0,1020.875,48,0,4.6628412500000005,-4.2695225
2009-01-09,23,8,16,0.0,8.7,5,0,1021.25,42.875,12.625,3.92492625,-1.4993187500000003
2009-01-10,24,13,19,0.0,8.7,5,0,1020,54.875,12.75,5.41538,-2.96065625
2009-01-11,23,11,17,0.0,8.7,5,0,1019.5,51.75,12.75,5.3836675,-6.45656375
2009-01-12,23,10,17,0.0,8.7,5,0,1021,55.25,6.5,5.392446250000001,-5.2971224999999995
2009-01-13,23,10,17,0.0,8.7,5,0,1022.375,54.125,18.75,6.223204999999999,-2.71278375
2009-01-14,26,8,20,0.0,8.7,5,0,1021.375,47.875,10.75,6.4711275,-6.2619299999999996
2009-01-15,24,11,19,0.0,8.7,5,0,1020.25,41.75,9.375,5.8331599999999995,-5.77619375
2009-01-16,26,13,20,0.0,8.7,5,0,1019.125,39.875,24.125,6.220023749999999,-2.9001712500000005
2009-01-17,22,14,19,0.0,8.7,5,0.4,1017.875,59.375,27.25,7.0752999999999995,-3.6375249999999997
2009-01-18,23,14,19,0.0,7.1,5,0.1,1016.625,71.25,24.75,1.7703787500000003,0.6307962499999997
2009-01-19,24,14,19,0.0,8.7,5,0,1016.875,66.375,11,6.9438525,-10.095638749999999
2009-01-20,22,11,17,0.0,8.7,5,0,1016.5,64,15.625,6.9317375,-13.144217499999998
2009-01-21,20,11,16,0.0,8.7,5,0,1014.875,47.125,21.25,7.88115625,-13.635861250000001
2009-01-22,24,12,19,0.0,8.7,5,0,1014,39.25,16.75,7.137669999999999,-8.36348875
2009-01-23,25,14,20,0.0,8.7,5,0,1013.25,36.75,19.75,9.717722499999999,-13.544504999999997
2009-01-24,26,15,21,0.0,5.5,6,0,1011.125,42.875,29.375,6.835273750000002,-12.329652499999998
2009-01-25,31,16,24,0.0,8.7,6,0,1011.125,48.75,17.625,-3.3477725000000005,4.7667675
2009-01-26,28,14,22,0.0,8.7,6,0,1011.625,61.875,6.875,2.3241425000000002,-2.9439100000000002
2009-01-27,26,15,22,0.0,8.7,6,0,1013.375,59.625,0.5,3.7127575000000004,-7.37927875
2009-01-28,25,13,20,0.0,8.7,6,0,1014,64.5,0,4.491035,-11.34309375
2009-01-29,29,13,21,0.0,8.7,6,0,1015.125,67.75,2.125,3.3752537500000006,-3.6406425
2009-01-30,26,13,21,0.0,8.7,6,0,1014.75,63.75,2.375,5.718155,-6.618466250000001
2009-01-31,24,13,19,0.0,8.7,5,0,1014.25,55.25,1.125,9.812248749999998,-12.152228749999999
2009-02-01,24,10,19,0.0,10.9,5,0,1014.875,53.25,12.375,4.72333625,-9.410921250000001
2009-02-02,25,12,21,0.0,10.9,6,0,1015.5,53.5,1.125,4.8974424999999995,-4.69535125
2009-02-03,29,12,23,0.0,10.9,6,0,1015,56.25,0,3.2953349999999997,-1.760375
2009-02-04,31,13,25,0.0,11.0,6,0,1014.5,59.375,0.375,-0.4775824999999999,1.58005875
2009-02-05,28,12,23,0.0,11.0,6,0,1014.5,52.25,3.125,-2.4307062500000005,7.356451249999999
2009-02-06,30,12,23,0.0,11.0,6,0,1014.25,50.75,4.875,1.1302837499999996,0.9037837499999999
2009-02-07,27,13,21,0.0,11.0,6,0,1015.625,53.5,2.625,5.354825000000001,-9.3541675
2009-02-08,26,12,21,0.0,11.0,6,0,1016.5,59.375,0.625,4.240615,-6.8051312500000005
2009-02-09,26,10,20,0.0,11.0,5,0,1015.25,59.125,17.375,2.61892625,-2.103885000000001
2009-02-10,25,14,22,0.0,11.0,6,0.1,1011.875,54.375,14.375,-4.3278875,9.17685
2009-02-11,22,9,18,0.0,11.1,5,0.7,1013.875,67.75,17.375,4.5629175,-3.13324375
2009-02-12,24,13,20,0.0,11.1,5,0,1013.5,64.375,5.75,6.613993750000001,-8.0686375
2009-02-13,27,13,22,0.0,11.1,6,0,1011.125,66.25,3.25,1.4515275,-3.4294862499999987
2009-02-14,29,12,22,0.0,11.1,6,0,1012.875,59.625,22.25,1.9707875,-2.2739975
2009-02-15,25,15,20,0.0,11.5,6,0,1013.5,47.875,3,7.34537625,-9.27778
2009-02-16,27,12,20,0.0,11.5,5,0,1014.875,52.375,4.375,5.76666625,-8.257575
2009-02-17,26,11,21,0.0,11.6,6,0,1014.625,53.125,4,5.78072375,-7.12385375
2009-02-18,28,11,22,0.0,11.6,6,0,1013.875,44,5.5,7.569601249999999,-9.63950125
2009-02-19,28,14,22,0.0,11.6,6,0,1011.875,40,4.125,8.4728375,-9.895435
2009-02-20,31,12,26,0.0,11.6,7,0,1014.625,40.75,11.25,7.7336149999999995,-6.17988375
2009-02-21,31,15,25,0.0,11.6,7,0,1014.125,36,5.625,9.045720000000001,-6.3683875
2009-02-22,30,15,24,0.0,11.6,6,0,1009.375,33.25,24.125,6.426467500000001,-7.8715262500000005
2009-02-23,36,15,28,0.0,11.6,7,0,1008.125,35,16.75,2.49508375,-0.35452375000000014
2009-02-24,32,18,27,0.0,11.6,7,0,1007.625,36,5.375,5.7230324999999995,-2.3127025000000003
2009-02-25,30,15,25,0.0,11.6,7,0,1008.25,39.5,4.25,6.9082462499999995,-6.97505125
2009-02-26,30,16,25,0.0,11.6,7,0,1009.125,35.375,8.375,7.766053749999999,-8.230622499999999
2009-02-27,29,16,25,0.0,11.6,6,0,1010.5,28.75,2,9.339448749999999,-9.259160000000001
2009-02-28,28,15,24,0.0,11.6,6,0,1010,26,0,8.90200625,-14.628275
2009-03-01,30,14,25,0.0,11.6,7,0,1009.625,23.25,1.875,7.59564125,-13.2027175
2009-03-02,34,17,29,0.0,11.6,7,0,1009.625,31.625,1.5,6.61751125,-6.525805
2009-03-03,38,17,31,0.0,11.6,8,0,1008.125,38,3.625,-2.0235775,2.05330125
2009-03-04,36,16,29,0.0,11.6,7,0,1007,40.625,28.375,-0.6428687499999999,-1.65866625
2009-03-05,32,16,27,0.0,11.6,7,0,1007.875,36.5,13.125,5.47521125,-9.984496250000001
2009-03-06,34,16,29,0.0,11.6,7,0,1008.5,31,2,1.7643912500000003,-6.791788750000001
2009-03-07,34,18,29,0.0,11.6,7,0,1009,26.75,1.625,2.8808825000000002,-3.30376125
2009-03-08,33,18,28,0.0,11.6,7,0,1009.375,30.25,2.625,5.44018,-5.797630000000001
2009-03-09,36,16,29,0.0,11.6,7,0,1012.625,26.25,2.375,7.3194849999999985,-1.29396
2009-03-10,33,15,28,0.0,11.6,7,0,1013.25,25,4.75,5.9061775,-4.27332875
2009-03-11,32,16,27,0.0,11.6,7,0,1013.125,22.75,0,6.68796,-10.3676375
2009-03-12,32,17,27,0.0,11.6,7,0,1011.125,22.875,10.25,6.51908625,-12.00028
2009-03-13,39,17,32,0.0,11.6,8,0,1012.875,26.125,0,1.0172125,2.1376074999999997
2009-03-14,39,19,32,0.0,11.6,8,0,1012.5,29.5,0,1.91653125,4.45762375
2009-03-15,39,17,32,0.0,11.6,8,0,1009.75,25.75,0.5,4.6238624999999995,-0.29780000000000006
2009-03-16,35,18,29,0.0,11.6,7,0,1009.75,25.375,11.875,4.8961275,-1.9058675000000003
2009-03-17,38,19,33,0.0,11.6,8,0,1009.5,23.25,0,5.85449625,-3.22405
2009-03-18,37,18,32,0.0,11.6,8,0,1009.25,23.625,4.625,5.7043075000000005,-1.0438287499999999
2009-03-19,38,20,33,0.0,11.6,8,0,1007.875,25.5,4.875,2.69383125,1.2375450000000001
2009-03-20,33,19,29,0.0,11.6,7,0.30000000000000004,1009,35.125,8.375,3.5592637500000004,4.9814074999999995
2009-03-21,35,19,30,0.0,11.6,7,0,1009.375,33.75,8.75,6.137078750000001,-1.9838825
