date,Max Temp (c),Min Temp (c),Avg Temp (c),Snow (cm),Sun Time (Hours),UV Index,Total Precipitation (MM),Avg Pressure (P),Avg Humidity (%),Avg Cloud Cover,Avg Resultant Wind vector [E](km/h),Avg Resultant Wind vector [N](km/h)
2009-01-01,22,12,16,0.0,8.7,5,0,1016.375,44.875,6.375,7.35197375,-7.59409375
2009-01-02,24,11,18,0.0,8.7,5,0,1017.25,57,2.5,3.2165225,-0.9377137500000001
2009-01-03,25,12,17,0.0,8.7,5,0,1016.5,55.375,10.75,-1.0365075,3.48939875
2009-01-04,22,10,17,0.0,8.7,5,0,1015.25,47.25,23,1.4064200000000002,3.58360875
2009-01-05,23,13,18,0.0,8.7,5,0.1,1014.625,59.875,13.375,5.404985,1.21402375
2009-01-06,24,11,18,0.0,8.7,5,0,1015.625,61.375,4,3.8679324999999998,0.036852499999999955
2009-01-07,26,12,19,0.0,8.7,5,0,1018,53,1.25,6.150409999999999,-2.9794975
2009-01-08,25,11,19,0.0,8.7,5,0,1021,51.625,0,3.76167,-3.37295375
2009-01-09,22,9,16,0.0,8.7,5,0,1021.375,46.125,12,3.93342,-1.0591662499999999
2009-01-10,23,13,18,0.0,8.7,5,0,1020.25,52.125,7.625,6.747798749999999,-3.3582599999999996
2009-01-11,22,11,17,0.0,8.7,5,0,1019.75,50,15.125,4.781325000000001,-6.006307500000001
2009-01-12,22,9,17,0.0,8.7,5,0,1021,55.375,7.625,4.995045,-4.093427500000001
2009-01-13,22,10,16,0.0,8.7,5,0,1022.5,56.875,18.75,5.525712500000001,-1.62801875
2009-01-14,26,7,19,0.0,8.7,5,0,1021.5,48.375,14.375,6.324765000000001,-5.2334362500000005
2009-01-15,24,11,19,0.0,8.7,5,0,1020.375,42.5,10.125,5.837125,-4.49736625
2009-01-16,26,13,20,0.0,8.7,6,0,1019.125,41.25,18.375,5.24048375,-0.7092687500000001
2009-01-17,22,14,18,0.0,8.7,5,0.1,1018.125,61.25,28.625,6.90368,-2.0844525
2009-01-18,23,13,19,0.0,8.7,5,0.2,1016.625,74.625,25.5,-0.43983999999999984,2.0248850000000003
2009-01-19,23,14,19,0.0,8.7,5,0,1017.25,70.375,11.625,7.012305,-9.549300000000002
2009-01-20,22,10,17,0.0,8.7,5,0,1016.5,63.875,16.25,6.38726625,-11.976856249999999
2009-01-21,20,10,16,0.0,8.7,5,0,1015.125,46.625,23.625,7.09681875,-12.821646249999997
2009-01-22,25,12,19,0.0,8.7,5,0,1014.375,38.875,19.375,6.238710000000001,-7.718693749999999
2009-01-23,25,14,20,0.0,8.7,5,0,1013.5,36,22,9.514188749999999,-12.773801250000002
2009-01-24,25,16,21,0.0,7.1,6,0,1011.375,42.25,30,6.93082875,-11.977085
2009-01-25,31,17,24,0.0,8.7,6,0,1010.875,48.75,17.125,-4.462937500000001,3.936575
2009-01-26,27,15,21,0.0,8.7,6,0,1011.75,57.375,8.875,3.23131875,-3.2622662500000006
2009-01-27,26,16,22,0.0,8.7,6,0,1013.625,57.5,0.75,3.97918875,-7.37578625
2009-01-28,25,13,20,0.0,8.7,6,0,1014.25,63.875,0,4.56675,-10.3672075
2009-01-29,29,13,21,0.0,8.7,6,0,1015.125,66.375,2.5,3.01414375,-2.9953174999999996
2009-01-30,25,13,21,0.0,8.7,6,0,1015,63.5,2.375,6.18251,-5.412658749999999
2009-01-31,24,13,20,0.0,8.7,5,0,1014.625,55.625,0.75,9.152898749999999,-10.74908875
2009-02-01,24,10,18,0.0,10.9,5,0,1015,54,12.25,4.5446225,-8.485811250000001
2009-02-02,25,10,21,0.0,10.9,6,0,1015.5,53.875,1.625,4.298360000000001,-3.3092512500000004
2009-02-03,30,12,23,0.0,10.9,6,0,1015,56.875,0,2.9726399999999997,-0.35079125000000005
2009-02-04,31,13,24,0.0,11.0,6,0,1014.5,58.125,1,-0.906125,2.8171925
2009-02-05,27,13,23,0.0,11.0,6,0,1014.25,51.125,3.5,-3.9876775,7.651574999999999
2009-02-06,31,12,24,0.0,11.0,6,0,1014.375,51.5,3.375,1.3988599999999995,-0.34757999999999967
2009-02-07,27,13,21,0.0,11.0,6,0,1015.875,52.75,2.5,5.464848749999999,-9.1199025
2009-02-08,26,13,20,0.0,11.0,6,0,1016.875,57.5,1,3.872395,-5.97923125
2009-02-09,26,9,20,0.0,10.1,5,0,1015.25,56.75,23.5,2.63686125,-1.4087299999999998
2009-02-10,24,14,22,0.0,11.0,6,0.2,1011.875,53.5,15.375,-5.07451875,8.04958
2009-02-11,21,10,17,0.0,11.1,5,0,1014,70.625,16.625,4.53291875,-4.5986225
2009-02-12,24,13,20,0.0,11.1,5,0,1013.75,66.375,7,6.28235375,-7.432574999999999
2009-02-13,27,14,22,0.0,11.1,6,0,1011.125,64.625,2.875,0.16771625000000007,-2.7106375
