date,Max Temp (c),Min Temp (c),Avg Temp (c),Snow (cm),Sun Time (Hours),UV Index,Total Precipitation (MM),Avg Pressure (P),Avg Humidity (%),Avg Cloud Cover,Avg Resultant Wind vector [E](km/h),Avg Resultant Wind vector [N](km/h)
2009-01-01,25,13,20,0.0,8.7,6,0,1016.25,42.75,1.875,4.801370000000001,4.610475
2009-01-02,26,12,20,0.0,8.7,5,0,1016.625,42,3.25,-0.4229587499999999,6.02357625
2009-01-03,27,12,21,0.0,8.7,6,0,1015.875,39.75,6.125,-6.6388549999999995,3.99975375
2009-01-04,28,14,22,0.0,8.7,6,0,1013.75,40.25,2.125,-1.1966724999999996,-3.7218812500000005
2009-01-05,27,14,22,0.0,8.7,6,0,1012.375,46.125,2.875,1.5052150000000002,-2.16929
2009-01-06,24,13,20,0.0,8.7,5,0,1013.5,50.625,21.125,5.483891249999999,9.1414625
2009-01-07,23,13,20,0.0,8.7,6,0.2,1015.875,47.5,33.75,5.66543875,11.14311125
2009-01-08,20,13,17,0.0,8.7,5,0.8,1019.375,70,34.875,6.0354075,13.277619999999999
2009-01-09,16,12,14,0.0,7.1,4,4.8999999999999995,1020.125,90.375,46.375,4.31413125,10.6326575
2009-01-10,24,14,19,0.0,8.7,4,5.3,1019,79.875,31.25,-2.2840724999999997,10.91044625
2009-01-11,24,14,20,0.0,8.7,5,0.8,1019,72.25,30.5,-0.0553637500000001,9.563005
2009-01-12,25,14,20,0.0,8.7,6,0,1020.125,61,24.25,1.6208662500000002,10.938372499999998
2009-01-13,28,16,23,0.0,8.7,6,0,1020.625,54.625,11,0.43857124999999997,7.0788575
2009-01-14,29,16,24,0.0,8.7,6,0,1020.75,57,10.5,3.3351,5.0629124999999995
2009-01-15,28,17,24,0.0,8.7,6,0,1019.75,58.375,8.125,1.1025487499999997,5.7924025
2009-01-16,30,18,24,0.0,8.7,6,0,1019,50.25,5.125,-4.685755,4.99908125
2009-01-17,30,17,25,0.0,8.7,6,0,1017.125,46.5,4.625,-4.9239175,1.53955375
2009-01-18,29,17,24,0.0,8.7,6,0,1016.25,43.25,6.875,-3.7287575,1.1202537500000003
2009-01-19,30,16,24,0.0,8.7,6,0,1016.375,48.75,4,3.9035175000000004,0.69243125
2009-01-20,27,15,22,0.0,7.1,6,0,1017.25,51.25,15.625,7.748086249999999,-0.5662024999999994
2009-01-21,22,16,19,0.0,8.7,5,0,1016.75,39,22.625,6.833342499999999,-4.6226825
2009-01-22,26,14,21,0.0,10.1,6,0,1015,30.125,31.625,5.838273749999999,-1.31157125
2009-01-23,28,12,23,0.0,11.0,6,0,1014.5,31.875,8.25,5.97814625,2.9990975000000004
2009-01-24,30,14,24,0.0,7.0,6,0,1012.75,33.625,58,1.8468687499999998,2.42124375
2009-01-25,32,19,27,0.0,11.0,7,0,1011.625,28.25,6.75,-2.1693062499999995,-2.7794325
2009-01-26,30,18,25,0.0,11.0,7,0,1012.25,35.625,0.375,0.8928787499999999,-9.869010000000001
2009-01-27,28,15,23,0.0,11.0,6,0,1014.25,28.875,1.125,7.942712500000001,-6.767251249999999
2009-01-28,30,15,24,0.0,11.0,6,0,1014.25,33.875,0,5.546375,2.51782125
