date,Max Temp (c),Min Temp (c),Avg Temp (c),Snow (cm),Sun Time (Hours),UV Index,Total Precipitation (MM),Avg Pressure (P),Avg Humidity (%),Avg Cloud Cover,Avg Resultant Wind vector [E](km/h),Avg Resultant Wind vector [N](km/h)
2009-01-01,24,12,19,0.0,8.7,5,0,1017.5,38.375,15.875,-1.75743625,1.2169050000000001
2009-01-02,26,13,20,0.0,8.7,6,0,1017.125,35,6.875,-1.8031849999999996,3.3883349999999997
2009-01-03,25,12,20,0.0,8.7,5,0,1015.875,32.375,17.75,1.1324300000000003,5.1664224999999995
2009-01-04,23,13,18,0.0,8.7,5,0,1016.25,41.625,17.25,9.768234999999999,3.62526
2009-01-05,22,11,17,0.0,8.7,5,0,1016.875,49.125,4,10.86717,2.5487575000000002
2009-01-06,22,11,18,0.0,8.7,5,0,1017.5,41.375,1,4.0043299999999995,1.64257
2009-01-07,23,11,18,0.0,8.7,5,0,1019.875,38.125,1.75,4.7495725,2.12011875
2009-01-08,24,11,18,0.0,8.7,5,0,1022.875,39,1.625,3.83995,2.4034737500000003
2009-01-09,23,10,18,0.0,8.7,5,0,1022.625,36.5,7.125,4.39002875,1.80694875
2009-01-10,23,12,18,0.0,8.7,5,0,1022.75,36.75,0.375,6.962064999999999,3.47939875
2009-01-11,21,10,16,0.0,8.7,5,0,1021.75,33,20.75,6.662485,-1.25348375
2009-01-12,24,10,18,0.0,8.7,5,0,1022.875,32.75,5.625,2.7930037499999996,3.90196
2009-01-13,25,13,19,0.0,8.7,5,0,1023.875,30.25,2,0.62963125,7.88107
2009-01-14,24,11,18,0.0,8.7,5,0,1024.125,38.125,5.125,9.80082375,2.99862375
2009-01-15,24,12,19,0.0,8.7,5,0.4,1021.625,41,25.125,7.22092625,2.982705
2009-01-16,18,14,16,0.0,5.5,4,16.1,1021.25,76,62.375,15.337172500000001,1.7556475
2009-01-17,20,13,17,0.0,5.5,4,2.1,1020.5,79.375,69.75,10.15690125,1.83589
2009-01-18,23,14,19,0.0,8.7,4,3.8000000000000003,1017.625,73.5,26.875,4.837770000000001,-3.4365724999999996
2009-01-19,20,12,17,0.0,8.7,5,0,1021.125,63.25,3.5,10.879112500000002,0.7914237500000001
2009-01-20,22,12,17,0.0,8.7,5,0,1019.625,45.5,34.75,7.431021250000001,-2.0523375
2009-01-21,24,12,19,0.0,8.7,5,0,1017.875,36.875,17.625,3.39393375,-4.285867499999999
2009-01-22,23,13,19,0.0,8.7,5,0,1016.5,36.875,36.75,-2.2023124999999997,-1.2831312499999998
2009-01-23,23,16,20,0.0,8.7,5,0.30000000000000004,1017.75,41,46.25,4.4238225,-2.7079575
2009-01-24,25,17,21,0.0,8.7,6,0,1014.5,45.625,27.875,5.54384375,2.28691375
2009-01-25,23,15,19,0.0,8.7,5,0,1012.125,58.25,9.125,7.80554375,-1.11675625
2009-01-26,24,14,20,0.0,8.7,5,0,1013.5,61.75,9,1.9206687499999997,-3.6699112499999997
2009-01-27,24,15,21,0.0,8.7,6,0,1015.125,53.25,0.375,4.142486249999999,-1.6099800000000002
2009-01-28,26,15,22,0.0,8.7,6,0,1016.125,56.5,0,4.43326625,1.56738
2009-01-29,26,16,22,0.0,8.7,6,0,1015.375,47.625,5.5,-6.01902125,1.0060975
2009-01-30,26,15,22,0.0,8.7,6,0,1016.625,42.25,1.75,3.61233875,-0.03802250000000003
2009-01-31,24,15,21,0.0,8.7,6,0,1016.5,44,4.375,5.638635000000001,0.5481550000000001
2009-02-01,27,13,22,0.0,8.7,6,0,1015.375,39.125,7,-4.164471250000001,-0.05144999999999966
2009-02-02,28,14,23,0.0,8.7,6,0,1015.375,32.875,2.25,-2.88606375,3.9989337499999995
2009-02-03,28,15,23,0.0,8.7,6,0,1015.125,32.625,2.125,4.0357325,6.830617500000001
2009-02-04,28,15,23,0.0,8.7,6,0,1014.375,38.875,2,5.180404999999999,6.581314999999999
2009-02-05,25,14,20,0.0,8.7,6,0,1014.125,44.25,9,9.74115125,-1.0468549999999999
2009-02-06,24,12,19,0.0,8.7,5,0,1017.875,49.5,2.5,12.87426125,0.78224
2009-02-07,23,12,19,0.0,8.7,5,0,1019.375,38.5,8.125,10.053095,-0.19488125
2009-02-08,25,10,20,0.0,8.7,6,0,1018.5,31.5,18,5.2060925000000005,-0.41268375
2009-02-09,21,13,19,0.0,8.7,5,0.4,1016.875,38.625,26.5,1.6751749999999999,-0.026541250000000086
2009-02-10,18,14,17,0.0,8.7,5,0.4,1014.25,53.75,21.75,7.30074875,-6.146324999999999
2009-02-11,27,12,22,0.0,8.7,6,0,1015.625,56.375,4.125,2.28881375,-1.45610625
2009-02-12,26,14,22,0.0,11.5,6,0,1014.875,47.75,7.25,-5.91982375,5.196854999999999
2009-02-13,26,15,22,0.0,11.5,6,0,1010,40.875,4.875,-5.12196375,-0.6038812499999995
2009-02-14,26,14,21,0.0,11.5,6,0,1014.375,38.25,0,6.623615,1.83251375
2009-02-15,25,13,21,0.0,11.5,6,0,1016.875,43.625,2,6.895398750000001,0.49861874999999994
2009-02-16,26,14,22,0.0,11.5,6,0,1016.625,39.375,10.625,2.6709924999999997,2.4409487500000004
2009-02-17,30,13,25,0.0,11.6,7,0,1016.375,31.5,7.875,-0.12717499999999993,3.58209875
2009-02-18,28,15,24,0.0,11.6,6,0,1016.125,32.25,4.5,3.4215099999999996,3.7348212500000004
2009-02-19,26,15,22,0.0,11.6,6,0,1014.125,35.25,14.25,3.89443875,5.12828875
2009-02-20,31,15,24,0.0,11.6,6,0,1015.875,43.625,7.5,8.820640000000001,2.9392799999999997
2009-02-21,30,16,24,0.0,11.6,6,0,1016.375,40.875,5.625,10.23166125,4.7101637499999995
2009-02-22,29,17,24,0.0,11.6,6,0,1010.5,39.625,26.125,4.8761725,1.3457537499999999
2009-02-23,33,17,26,0.0,11.6,7,0,1009,36.125,1.25,5.02086625,2.4821925
2009-02-24,33,17,28,0.0,11.6,7,0,1009.25,32.75,1.875,0.7592737500000003,1.96714625
2009-02-25,31,19,26,0.0,11.6,7,0,1010,32.75,12.375,4.710366250000001,1.53629625
2009-02-26,31,20,26,0.0,11.6,7,0,1010,32.75,15.25,6.51637,5.32595
2009-02-27,32,19,28,0.0,11.6,7,0,1012.5,31.5,5.375,3.74513125,3.9624525000000004
2009-02-28,32,18,27,0.0,11.6,7,0,1012.75,30.625,2.625,4.0496725,3.3804499999999997
2009-03-01,34,18,29,0.0,11.6,7,0,1010.625,27.125,2.5,1.5761649999999998,6.25903375
2009-03-02,37,19,30,0.0,11.6,8,0,1010.625,26,7.625,1.4484825,6.04283375
2009-03-03,34,21,30,0.0,11.6,7,0,1007.375,22.625,4.125,-7.129868750000001,-3.79720875
2009-03-04,31,20,26,0.0,5.9,7,0,1008.5,29.25,67.25,10.11096,-1.5619537500000003
2009-03-05,33,18,28,0.0,11.6,6,0,1010,25.875,61,0.7445799999999998,3.44478875
2009-03-06,36,17,29,0.0,11.6,7,0,1008.875,20.75,14.375,3.03992125,2.16063375
2009-03-07,31,17,27,0.0,11.6,7,0,1011.125,26.75,3.125,10.32527125,3.9148375
2009-03-08,32,17,27,0.0,11.6,7,0,1010.625,22.75,5.375,-0.37299249999999995,-1.50792125
2009-03-09,34,18,29,0.0,11.6,7,0,1013,19.125,0.375,-1.904945,-1.3458525
2009-03-10,34,17,28,0.0,11.6,7,0,1015.625,26.25,0.5,7.384065,3.19248375
2009-03-11,33,19,29,0.0,10.2,7,0,1016.25,24.125,13,2.4615674999999992,2.05261375
2009-03-12,35,17,31,0.0,11.6,8,0,1013.25,18.25,1,-5.7216499999999995,-4.1489625
2009-03-13,39,17,32,0.0,11.6,8,0,1013,18.125,2.5,-1.2448287499999997,-1.2321375
2009-03-14,36,20,30,0.0,11.6,7,0,1013.625,17.5,0.625,8.75945625,1.8259512500000001
2009-03-15,39,20,33,0.0,11.6,8,0,1012,19.625,4.625,-0.20537249999999974,2.1841425
2009-03-16,38,21,32,0.0,11.6,8,0,1009.875,15.5,12.25,-8.500633749999999,4.14858
2009-03-17,38,20,32,0.0,11.6,8,0,1010,19,9.75,-1.2414174999999998,4.498707499999999
2009-03-18,37,20,31,0.0,11.6,8,0,1010.25,23,4,3.9204112500000003,1.70768625
2009-03-19,34,20,29,0.0,11.6,7,0,1009.625,34.875,13.125,8.5006925,3.8026275000000003
2009-03-20,35,21,31,0.0,11.6,8,0,1008.375,29.375,4.875,-0.5273224999999999,1.7810712499999999
2009-03-21,36,20,30,0.0,11.6,7,0,1010.25,28,6.75,5.75436,2.11670375
2009-03-22,33,20,28,0.0,11.6,7,0.2,1011.625,33,19.75,6.8648,0.3451149999999999
2009-03-23,34,21,30,0.0,11.6,7,0,1011.75,31.25,25.75,4.730230000000001,2.3791212500000003
2009-03-24,30,18,25,0.0,11.6,6,0.30000000000000004,1012.375,46.375,19.75,16.796675,0.2725925
2009-03-25,35,15,28,0.0,11.6,7,0,1012.75,47.375,0.875,7.36142875,0.6661100000000002
2009-03-26,35,20,30,0.0,11.6,7,0,1010.375,30.75,10,5.30670125,4.7946525
2009-03-27,30,22,26,0.0,11.6,7,0,1009.375,33,21.625,5.693384999999999,7.2788825
2009-03-28,29,18,24,0.0,11.6,6,0.5,1011.625,56,21.625,11.539895000000001,5.76192
2009-03-29,32,17,26,0.0,11.6,6,0.1,1011.125,54.375,16.875,9.72147875,2.38188125
2009-03-30,34,20,29,0.0,11.6,7,0,1011.75,37.75,10.875,7.554717499999999,2.8122475
2009-03-31,36,20,32,0.0,11.6,8,0,1009.125,30.5,15,-0.6191887500000002,-0.0036312499999999748
2009-04-01,36,24,33,0.0,11.6,8,0,1007.75,26.5,12.375,-4.5988050000000005,-4.42817875
2009-04-02,40,24,34,0.0,11.6,8,0,1006.5,28,6.375,0.9978387499999999,-2.34786875
2009-04-03,37,24,32,0.0,12.3,8,0,1009,27,5,8.6039325,1.93916375
2009-04-04,36,23,32,0.0,12.7,8,0,1010.875,20.5,13.5,4.05135,-0.7296250000000001
2009-04-05,37,23,32,0.0,12.8,8,0.1,1008.5,21.875,14.625,-5.87672375,-3.7201950000000004
2009-04-06,34,24,30,0.0,12.8,8,0.1,1006.875,27.875,11.375,6.7025524999999995,-0.14075375000000023
2009-04-07,37,20,31,0.0,12.8,8,0.1,1006.25,31.625,9.5,6.601436250000001,1.0830775000000001
2009-04-08,30,18,26,0.0,12.8,7,0,1007.625,39,20.5,5.738348749999999,-2.85248
2009-04-09,36,17,30,0.0,12.8,7,0,1012.75,34.625,1.875,7.000685,3.1974975
2009-04-10,36,20,31,0.0,12.8,8,0,1013,30.5,2.375,4.1533225,-0.5682425
2009-04-11,38,21,34,0.0,12.8,8,0,1009.25,21.75,6,-0.10980749999999995,-2.159625
2009-04-12,39,22,35,0.0,12.9,9,0,1007.875,20.5,4.125,5.310640000000001,0.37060875000000015
2009-04-13,44,24,37,0.0,12.9,9,0,1005.875,19.25,1.375,2.72291125,3.61629625
